Level 1 Term,Level 2 Term,Level 3 Term,Code,Definition,Non-IMDRF Code/Term,Status,Status Description,CodeHierarchy
Patient Device Interaction Problem,,,A01,Problem related to the interaction between the patient and the device.,,,,A01
,Patient-Device Incompatibility,,A0101,Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.,,,,A01|A0101
,,Biocompatibility,A010101,Problem associated with undesirable local or systemic effects due to exposure to medical device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.,,,,A01|A0101|A010101
,,Device Appears to Trigger Rejection,A010102,"The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device.",,,,A01|A0101|A010102
,,Inadequacy of Device Shape and/or Size,A010103,The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.,,,,A01|A0101|A010103
,Osseointegration Problem,,A0102,Problem associated with interconnection between the bone tissue and the implanted device.,,,,A01|A0102
,,Failure to Osseointegrate,A010201,Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.,,,,A01|A0102|A010201
,,Loss of Osseointegration,A010202,Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. Loosening/Lysis,,,,A01|A0102|A010202
,Loosening of Implant Not Related to Bone-Ingrowth,,A0103,Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.,,,,A01|A0103
,Migration or Expulsion of Device,,A0104,"Problem with an implanted or invasive device moving within the body, or being completely expelled from the body.",,,,A01|A0104
,,Expulsion,A010401,Problem with all or part of an implanted or invasive device being completely expelled from its intended location within the body.,,,,A01|A0104|A010401
,,Migration,A010402,Problem with all or part of an implanted or invasive device moving from its intended location within the body.,,,,A01|A0104|A010402
"Manufacturing, Packaging or Shipping Problem",,,A02,"Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem).",,,,A02
,Product Quality Problem,,A0201,Problem associated with an inherent device characteristic that is not satisfactory as specified or delivered.,,,,A02|A0201
,,"Dull, Blunt",A020101,Problem associated with a device not being as sharp as intended or expected.,,,,A02|A0201|A020101
,,Nonstandard Device,A020102,"Problem associated with the device that does not meet the specifications or requirements for which it was manufactured (e.g. materials, parts, manufacturing process).",,,,A02|A0201|A020102
,Defective Component,,A0202,Problem associated with a device component having flaws of dimensional deviations greater than acceptable for the intended use.,,,,A02|A0202
,Defective Device,,A0203,Problem associated with having flaws or dimensional deviations greater than acceptable for the intended use of the device.,,,,A02|A0203
,Device Damaged Prior to Use,,A0204,Problem associated with packaging or shipping damage prior to the use of the device.,,,,A02|A0204
,Packaging Problem,,A0205,Problem associated with the materials used to construct the cover or outer wrapping of the device.,,,,A02|A0205
,,Difficult to Open or Remove Packaging Material,A020501,"Problem associated with difficulty for users to operate the device, specifically as it relates to the opening or removal of the outer wrapping.",,,,A02|A0205|A020501
,,Incomplete or Missing Packaging,A020502,Problem associated with the nonconformance to the device specifications due to incomplete or missing packaging that may compromise the device operation as intended.,,,,A02|A0205|A020502
,,Unsealed Device Packaging,A020503,Problem associated with the loss of packaging seal.,,,,A02|A0205|A020503
,,"Tear, Rip or Hole in Device Packaging",A020504,"Problem associated with packaging damage (tear, rip or hole) prior to the use of the device.",,,,A02|A0205|A020504
,Device Misassembled During Manufacturing /Shipping,,A0206,A device found incorrectly assembled when delivered to the user facility.,,,,A02|A0206
,,Component Misassembled,A020601,A device found to have one or more components incorrectly assembled when delivered to the user facility.,,,,A02|A0206|A020601
,,Component Missing,A020602,A device component(s) found to be missing when delivered to the user facility.,,,,A02|A0206|A020602
,Shipping Damage or Problem,,A0207,Problem associated with shipping damage or problem prior to the use of the device.,,,,A02|A0207
,,Delivered as Unsterile Product,A020701,"Problem associated with a device being received in such a manner to indicate that its sterility has been compromised (e.g. sterile packaging breached, visible contaminate present)",,,,A02|A0207|A020701
Chemical Problem,,,A03,"Problem associated with any from the documented specifications of the device that relate to any chemical characterization, i.e., element, compound, or mixture.",,,,A03
,Device Emits Odor,,A0301,Problem associated with an unexpected or inappropriate smell released by the device.,,,,A03|A0301
,Device Ingredient or Reagent Problem,,A0302,Problem associated with any deviations from the documented specifications of the device that relate to any ingredient or reagent characterization.,,,,A03|A0302
,,Clumping in Device or Device Ingredient,A030201,Problem associated with the aggregation of particles into irregular masses.,,,,A03|A0302|A030201
,,Coagulation in Device or Device Ingredient,A030202,"Problem associated with the undesired characterization of congealing, solidifying, thickening, curdling.",,,,A03|A0302|A030202
,,Precipitate in Device or Device Ingredient,A030203,Problem associated with the separation of solid particles from a liquid as the result of a chemical or physical change.,,,,A03|A0302|A030203
,,Cross Reactivity,A030204,Problem associated with the degree to which an antibody or antigen participates in cross reactions.,,,,A03|A0302|A030204
,,Particulates,A030205,Substances that consist of separate particles that are introduced by the device during use.,,,,A03|A0302|A030205
,,High pH,A030206,pH higher than expected and/or anticipated.,,,,A03|A0302|A030206
,,Low pH,A030207,pH lower than expected and/or anticipated.,,,,A03|A0302|A030207
,,Unexpected Color,A030208,Color of product is different from that expected.,,New,"Term was added on 18 March 2020 as an additional level 3 term under ""Device Ingredient or Reagent Problem"". ",A03|A0302|A030208
,Improper Chemical Reaction,,A0303,Problem associated with an unexpected or incomplete chemical reaction or effect.,,,,A03|A0303
Material Integrity Problem,,,A04,Problem associated with any deviations from the documented specifications of the device that relate to the limited durability of all material used to construct device.,,,,A04
,Break,,A0401,Problem associated with undesired damage or breakage of those materials used in the device construction.,,,,A04|A0401
,,Fracture,A040101,Problem associated with a partial or full-thickness crack in the device materials.,,,,A04|A0401|A040101
,,Loss of or Failure to Bond,A040102,Problem associated with lack or loss of adherence between materials intended to be joined together by an adhesive.,,,,A04|A0401|A040102
,,Material Fragmentation,A040103,Problem associated with small pieces of the device breaking off unexpectedly.,,,,A04|A0401|A040103
,,Solder Joint Fracture,A040104,Problem associated with undesired damage or breakage in a solder joint of materials used in the device construction.,,,,A04|A0401|A040104
,Burst Container or Vessel,,A0402,Problem associated with the pressure inside a vessel or container rising to such a degree that the container ruptures.,,,,A04|A0402
,Explosion,,A0403,"Problem associated with the violent bursting due to the sudden expansion of air, gas or fluid.",,,,A04|A0403
,Crack,,A0404,Problem associated with an undesired partial separation and/or a visible opening along the length or width in the materials that are used in the device construction.,,,,A04|A0404
,Degraded,,A0405,"Problem associated with a undesired change in the chemical structure, physical properties, or appearance in the materials that are used in the device construction.",,,,A04|A0405
,,Calcified,A040501,Problem associated with buildup of calcium salts on the device.,,,,A04|A0405|A040501
,,Corroded,A040502,"Problem associated with the chemical or electrochemical reaction between materials, usually a metal and its environment that produces a deterioration of the metal and its properties.",,,,A04|A0405|A040502
,,Material Erosion,A040503,Problem associated with a progressive loss of a material from a solid surface.,,,,A04|A0405|A040503
,,Pitted,A040504,"Problem associated with the corrosion of a material's surface, confined to a point or small area that takes the form of cavities.",,,,A04|A0405|A040504
,,Flaked,A040505,Problem associated with the detachment of small pieces of the coating film of a material.,,,,A04|A0405|A040505
,,Peeled/Delaminated,A040506,"Peeling or delamination of composite materials, including coatings, that occurs when layers are separated as a result of stress or impact and resulting in loss of mechanical toughness.",,,,A04|A0405|A040506
,,Naturally Worn,A040507,"Problem associated with material damage to a surface, usually involving progressive loss or displacement of material, due to relative motion between that surface and a contacting substance or substances.",,,,A04|A0405|A040507
,,Unraveled Material,A040508,"Problem due to the undesired unravelling of material (e.g. disentangled, unwound etc.).",,,,A04|A0405|A040508
,Material Deformation,,A0406,Problem associated with an undesired material change in shape or property caused by external forces.,,,,A04|A0406
,,Deformation Due to Compressive Stress,A040601,"Problem associated with an undesired bulge, bend, bow, kink, or wavy condition observed in the device material resulting from compressive stresses.",,,,A04|A0406|A040601
,,Dent in Material,A040602,"Problem associated with a undesired change in shape, characterized by the presence of a slight hollow (dent) in the device surface.",,,,A04|A0406|A040602
,,Failure to Fold,A040603,"Problem associated with an undesired material change in physical property, characterized by failure to fold.",,,,A04|A0406|A040603
,,Failure to Unfold or Unwrap,A040604,Problem associated with the comprising materials' deformation in that device fails to open its wrapping or open/extend in a certain manner i.e. balloon or lens.,,,,A04|A0406|A040604
,,Material Frayed,A040605,Problem associated with the comprising materials having damaged edges.,,,,A04|A0406|A040605
,,Material Invagination,A040606,"Problem associated with an undesired material change in shape, characterized by the infolding of one part within another part of a structure.",,,,A04|A0406|A040606
,,Material Too Rigid or Stiff,A040607,"Problem associated with an undesired material change in physical property, characterized by rigidity (it resists deformation in response to an applied force).",,,,A04|A0406|A040607
,,Material Too Soft/Flexible,A040608,Problem associated with any device material that results in the material's inability to maintain the desired shape or support function.,,,,A04|A0406|A040608
,,Material Twisted/Bent,A040609,Problem associated with deformations that lead to twisting or bending of the device.,,,,A04|A0406|A040609
,,Melted,A040610,Problem associated with a solid device being transformed into a molten or liquid state.,,,,A04|A0406|A040610
,,Stretched,A040611,Problem associated with an increase or elongation in a materials' dimension.,,,,A04|A0406|A040611
,,Thickening of Material,A040612,Device is thickened due to deformation. Note: Not to be used for thickening of liquid.,,New,"Term was added on 18 March 2020 as an additional level 3 term under ""Material Deformation"".",A04|A0406|A040612
,Material Discolored,,A0407,"Problem associated with an undesired streak, pattern and/or a noticeable change in color from the rest of the materials used in the device construction.",,,,A04|A0407
,Material Disintegration,,A0408,Problem associated with material breaking into small particles.,,,,A04|A0408
,Material Opacification,,A0409,Problem associated with an undesirable opaqueness or cloudiness.,,,,A04|A0409
,Material Perforation,,A0410,Material constituting device is perforated possibly compromising the device's intended purpose.,,,,A04|A0410
,,Material Puncture/Hole,A041001,Device material(s) punctured leading to undesired holes/openings.,,,,A04|A0410|A041001
,Material Protrusion/Extrusion,,A0411,"Problem associated with undesired physical appearance of device material, specifically when material extends beyond or above device surface.",,,,A04|A0411
,Material Rupture,,A0412,Problem associated with perforations that lead to bursting of the device.,,,,A04|A0412
,Material Separation,,A0413,Problem associated with an undesired disassociation or breaking apart of the device.,,,,A04|A0413
,"Material Split, Cut or Torn",,A0414,"Problem associated with materials consisting the device are split, cut or torn due to external forces (e.g. wrenching or laceration) or internal forces (e.g. exceeding the tensile stress limits belonging to the materials used in the device construction).",,,,A04|A0414
,Scratched Material,,A0415,Problem associated with an undesirable shallow cut or narrow groove in the surface of the device materials.,,,,A04|A0415
Mechanical Problem,,,A05,"Problems associated with mechanical actions or defects, including moving parts or subassemblies, etc.",,,,A05
,Detachment of Device or Device Component,,A0501,"Problem associated with the separation of the device from its physical construct, integrity, or chassis.",,,,A05|A0501
,Device Damaged by Another Device,,A0502,Problem associated with one device causing harm to another device.,,,,A05|A0502
,Ejection Problem,,A0503,Problems associated with the inability or unexpected ejection or discharge of the device from its physical location.,,Modified (editorial),Editorial change to the definition on 18 March 2020.,A05|A0503
,,Failure to Eject,A050301,Problem associated with the inability of the device to be ejected or discharged from its physical location.,,Modified (editorial),Editorial change to the definition on 18 March 2020.,A05|A0503|A050301
,,Unintended Ejection,A050302,"Problem associated with unexpected ejection of the device from its physical location. This includes but is not limited to devices such as clip appliers, film cartridge, and staples.",,Modified (editorial),Editorial change to the definition on 18 March 2020.,A05|A0503|A050302
,Leak/Splash,,A0504,"Problem associated with the escape of a liquid, gas or radiation from the vessel or container in which it is housed.",,Modified (technical),Technical change to the definition on 18 March 2020 to include escape of radiation.,A05|A0504
,,Fluid Leak,A050401,"Escape (Release, Discharge) of fluid through an unintended location - often accompanied by a loss of pressure and/or output.",,,,A05|A0504|A050401
,,Gas Leak,A050402,Problem associated with the unintended escape of a gas from the container in which it is housed.,,,,A05|A0504|A050402
,,Gel Leak,A050403,"Escape (Release, Discharge) of gel through an unintended location - as in leakage of ultrasound gel. Escape or release of gel from containment structures - as in gel filled implant leak.",,,,A05|A0504|A050403
,,Radiation Leak,A050404,"Escape of radiation (energy in the form of waves or subatomic particles, especially those that cause ionization) through containment structures, leading to unintended exposure.",,,,A05|A0504|A050404
,,Perivalvular Leak,A050405,"Problem associated with the escape of blood around a heart valve, particularly around its leaflets.",,,,A05|A0504|A050405
,Firing Problem,,A0505,Problem associated with the device not discharging as intended.,,,,A05|A0505
,,Failure to Fire,A050501,Problem associated with failure of the device to discharge its load (e.g. surgical stapler failed to partially or completely deploy its staples).,,,,A05|A0505|A050501
,,Misfire,A050502,Problem associated with a therapy or algorithm not being delivered or executed at the expected time.,,,,A05|A0505|A050502
,Mechanical Jam,,A0506,The motion of the device is prevented or restricted.,,,,A05|A0506
,Mechanics Altered,,A0507,"Problem associated with a device mechanical functioning of machinery, moving parts or tools of device being changed or modified.",,,,A05|A0507
,,Failure to Align,A050701,"Problem associated with a circuit, equipment, or system whereby its functions fail to be properly synchronized or its relative positions properly oriented.",,,,A05|A0507|A050701
,,Failure to Cut,A050702,"Inability of the device to make an incision, pierce or open as intended.",,,,A05|A0507|A050702
,,Failure to Cycle,A050703,Problem associated with the device failing to complete a series of processes or events.,,,,A05|A0507|A050703
,,Failure to Form Staple,A050704,Problem associated with the device failing to connect tissue with a stapling device due to the staples not forming correctly.,,,,A05|A0507|A050704
,"Noise, Audible",,A0508,"Problem associated with any unintended sound which emanates from the device (for example, squeaking from two parts rubbing together or buzzing sounds from electrical components).",,,,A05|A0508
,Physical Resistance/Sticking,,A0509,Problem associated with the lack of movement in the device due parts sticking or seizing.,,,,A05|A0509
,Retraction Problem,,A0510,Problem associated with drawing back the device to an intended location.,,,,A05|A0510
,Structural Problem,,A0511,Problem associated with the basic physical construction or physical make up of the device.,,,,A05|A0511
,,Collapse,A051101,Problem associated with the buckling or crushing of material from external forces.,,,,A05|A0511|A051101
,,Sharp Edges,A051102,The device has undesirable sharp edges which can cause harm or damage.,,,,A05|A0511|A051102
,,"Difficult to Fold, Unfold or Collapse",A051103,"Problem associated with the use of the device in terms of user experiencing difficulty to close or to spread out/extend length of the device, even if the operation is being performed according to labeled instructions for use.",,Modified (technical),Technical change to the term on 18 March 2020 to include difficulty in collapsing.,A05|A0511|A051103
,,Difficult to Open or Close,A051104,"Problem associated with the use of the device in terms of user experiencing difficulty opening and closing the device, even if the operation is being performed according to labeled instructions for use.",,,,A05|A0511|A051104
,,Incomplete Coaptation,A051105,Problem associated with the heart valve leaflet not closing properly.,,,,A05|A0511|A051105
,Unintended Movement,,A0512,"Problem associated with an undesired movement of the device, which may be related to the device malfunction, misdiagnosis, or mistreatment.",,,,A05|A0512
,,Device Dislodged or Dislocated,A051201,Problems associated with the device not remaining in an expected location.,,,,A05|A0512|A051201
,,Device Tipped Over,A051202,Problem associated with the inability of the device to stay in an upright position.,,,,A05|A0512|A051202
,,Device Fell,A051203,Problem associated with the device or a component unexpectedly being dropped or moving down from an intended place.,,,,A05|A0512|A051203
,,Device Slipped,A051204,Problem associated with the device moving or sliding from the intended position.,,,,A05|A0512|A051204
,,Unintended Collision,A051205,Problem associated with the device impacting with another object.,,,,A05|A0512|A051205
,,Unintended System Motion,A051206,Problem associated with any motion of the system or components that was not initiated by the user.,,,,A05|A0512|A051206
,,Unstable,A051207,Problem associated with the mechanical stability of the device.,,,,A05|A0512|A051207
,,Vibration,A051208,Problem associated with the undesirable mechanical oscillation.,,,,A05|A0512|A051208
,Inadequate Lubrication,,A0513,The device shows inadequate lubrication.,,New,"Term was added on 18 March 2020 as an additional level 2 term under ""Mechanical Problem.""",A05|A0513
Optical Problem,,,A06,Problem associated with transmission of visible light affecting the quality of the image transmitted or otherwise affecting the intended application of the visible light path.,,,,A06
,Misfocusing,,A0601,The problem relates to the poor focusing of the object or the focus is on the wrong object or in the wrong area.,,,,A06|A0601
,Optical Decentration,,A0602,Problem associated with being off-center of optical lenses.,,,,A06|A0602
,Optical Discoloration,,A0603,Problem associated with an undesired change of color.,,,,A06|A0603
,Optical Distortion,,A0604,Problem associated with an optical defect in an image-forming system whereby the image is not the shape of an ideal image of the object.,,,,A06|A0604
,Optical Obstruction,,A0605,"Problem associated with the blocking of optical devices, e.g. visual pathways.",,,,A06|A0605
Electrical /Electronic Property Problem,,,A07,Problem associated with a failure of the electrical circuitry of the device.,,,,A07
,Capturing Problem,,A0701,Problem associated with the inability of the device to achieve successful depolarization and contraction of a cardiac chamber caused by a pacemaker output pulse.,,,,A07|A0701
,,Failure to Capture,A070101,Problem associated with the failure to achieve effective and consistent depolarization of the heart resulting from the electrical stimulus of the pacemaker.,,,,A07|A0701|A070101
,,High Capture Threshold,A070102,Problem with the amount of output energy needed to cause cardiac depolarization being higher than expected/desired.,,,,A07|A0701|A070102
,,Intermittent Capture,A070103,Problem associated with the ineffective and inconsistent depolarization of the heart.,,,,A07|A0701|A070103
,,Unstable Capture Threshold,A070104,Problem with the amount of output energy needed to cause cardiac depolarization being unstable.,,,,A07|A0701|A070104
,Continuous Firing,,A0702,Problem associated with the excessive production of electrical impulses over a period.,,,,A07|A0702
,Arcing,,A0703,"Problem associated with electrical current flowing through a gap between two conductive surfaces, typically resulting in a visible flash of light.",,,,A07|A0703
,,Arcing at Paddles,A070301,"Problem associated with electrical current flowing through a gap between paddles (conductive surfaces), typically resulting in a visible flash of light.",,,,A07|A0703|A070301
,,Arcing of Electrodes,A070302,"Problem associated with electrical current flowing through a gap between electrodes (conductive surfaces), typically resulting in a visible flash of light.",,,,A07|A0703|A070302
,Sparking,,A0704,"Problem associated with a flash of light related to an electrical discharge into a normally non conductive medium, such as air. Not associated with a discharge between two conductive surfaces.",,,,A07|A0704
,Battery Problem,,A0705,"Problem associated with the internal power of the device (e.g. battery, transformer, fuel cell or other power sources).",,,,A07|A0705
,,Battery Problem: High Impedance,A070501,Problem related to increased battery internal impedance.,,,,A07|A0705|A070501
,,Battery Problem: Low Impedance,A070502,Problem related to decreased battery internal impedance.,,,,A07|A0705|A070502
,,Failure to Run on Battery,A070503,Problem associated with the device failing to operate when not connected to a fixed power source.,,,,A07|A0705|A070503
,,Premature Discharge of Battery,A070504,Battery discharging earlier than expected.,,,,A07|A0705|A070504
,Charging Problem,,A0706,Problem associated with the inability of the device to successfully charge an electrical source.,,,,A07|A0706
,,Aborted Charge,A070601,Problem associated with the premature ending of the charging process (e.g. of a battery or other charge storage device).,,,,A07|A0706|A070601
,,Delayed Charge Time,A070602,Problem associated with an unexpected amount of time required to charge the device (e.g. a delay in starting charging or a longer than expected charge time).,,,,A07|A0706|A070602
,,Failure to Charge,A070603,Problem associated with inability to initiate the appropriate charging process (e.g. of a battery or other charge storage device),,,,A07|A0706|A070603
,Failure to Discharge,,A0707,Problem associated with the failure of a battery or other charge storage device to appropriately discharge as intended. Does not apply to defibrillation.,,,,A07|A0707
,Power Problem,,A0708,Problem associated with the energy to operate the device.,,,,A07|A0708
,,Complete Loss of Power,A070801,Problem associated with the lack of power to run the device.,,,,A07|A0708|A070801
,,Intermittent Loss of Power,A070802,Problem associated with an intermittent disruption to the power to run the device.,,,,A07|A0708|A070802
,,Failure to Power Up,A070803,Problem associated with the inability of the device to turn on related to energy delivered to the device.,,,,A07|A0708|A070803
,,Unintended Power Up,A070804,Problem associated with the device turning on when not intended.,,,,A07|A0708|A070804
,Device Sensing Problem,,A0709,"Problem associated with the device feature that are designed to respond to a physical stimulus (temperature, illumination, motion, cardiac rhythms) and that do not transmit a resulting signal for interpretation or measurement.",,,,A07|A0709
,,Decreased Sensitivity,A070901,Problem with the device being less sensitive to an input than intended or expected.,,,,A07|A0709|A070901
,,Increased Sensitivity,A070902,Problem with the device being more sensitive to an input than intended or expected.,,,,A07|A0709|A070902
,,Failure to Analyze Signal,A070903,Problem with the device not analyzing a signal.,,,,A07|A0709|A070903
,,Failure to Select Signal,A070904,Problem associated with the failure of the device to select the appropriate input signal.,,,,A07|A0709|A070904
,,High Sensing Threshold,A070905,Problem associated with the amount of input required by the device to detect a signal being higher than expected/desired.,,,,A07|A0709|A070905
,,Low Sensing Threshold,A070906,Problem associated with the amount of an input required by the device to detect a signal being lower than expected/desired.,,,,A07|A0709|A070906
,,Loss of Threshold,A070907,"Problem associated with the loss of the minimum amount of energy, voltage, or current needed to consistently stimulate the heart muscle.",,,,A07|A0709|A070907
,,Failure to Sense,A070908,"Problem associated with the failure of the device designed to respond to a physical stimulus (as temperature, illumination, motion) to transmit a resulting signal for interpretation or measurement.",,,,A07|A0709|A070908
,,Over-Sensing,A070909,Problem related to failure of the device to properly filter cardiac signals resulting in inappropriate device response.,,,,A07|A0709|A070909
,,Under-Sensing,A070910,Problem related to failure of the device to properly detect intrinsic cardiac activity and respond appropriately.,,,,A07|A0709|A070910
,,Sensing Intermittently,A070911,Problem with the device receiving an incoming signal on an intermittent basis when expected to be continuous.,,,,A07|A0709|A070911
,,Incorrect Interpretation of Signal,A070912,Problem with the device inappropriately analyzing a signal.,,,,A07|A0709|A070912
,Failure to Conduct,,A0710,Problem associated with the inability of the device to allow a current of electricity to pass or to conduct electricity continuously along an electrical path.,,,,A07|A0710
,Interrogation Problem,,A0711,Problems associated with the device's ability to respond to signals from a system designed to interrogate its status.,,,,A07|A0711
,,Difficult to Interrogate,A071101,Problem associated with difficulty of a transponder system to trigger a response.,,,,A07|A0711|A071101
